price,sqft,bedrooms,bathrooms,location,year_built,condition
595000,2230,3,2.0,Downtown,1986,Good
335000,1750,2,1.5,Rural,1968,Fair
1340000,3420,4,4.0,Waterfront,2014,Excellent
485000,1940,3,2.0,Urban,1979,Good
428000,1760,2,2.0,Suburb,1971,Good
675000,2450,3,2.5,Downtown,1991,Good
272000,1480,2,1.0,Rural,1952,Poor
1220000,3220,4,3.5,Waterfront,2008,Excellent
545000,2120,3,2.5,Urban,1997,Good
392000,1650,2,2.0,Suburb,1966,Fair
575000,2150,3,2.0,Downtown,1983,Good
320000,1700,2,1.5,Rural,1961,Fair
1120000,3050,4,3.0,Waterfront,2002,Good
510000,1980,3,2.0,Urban,1984,Good
438000,1820,3,2.0,Suburb,1974,Good
730000,2620,3,2.5,Downtown,1994,Excellent
264000,1440,2,1.0,Rural,1951,Poor
1520000,3620,5,4.0,Waterfront,2019,Excellent
530000,2080,3,2.0,Urban,1991,Good
372000,1640,2,1.5,Suburb,1963,Fair
592000,2220,3,2.0,Downtown,1985,Good
328000,1730,2,1.5,Rural,1965,Fair
1190000,3170,4,3.5,Waterfront,2006,Excellent
13300000,7420,4,2.0,Downtown,1978,Good
12250000,8960,4,4.0,Suburb,2015,Good
12250000,9960,3,2.0,Urban,1991,Fair
12215000,7500,4,2.0,Downtown,1982,Excellent
11410000,7420,4,1.0,Suburb,1982,Excellent
10850000,7500,3,3.0,Downtown,1989,Fair
10150000,8580,4,3.0,Downtown,1988,Fair
10150000,16200,5,3.0,Suburb,1992,Poor
9870000,8100,4,1.0,Urban,1973,Excellent
9800000,5750,3,2.0,Downtown,1988,Poor
9800000,13200,3,1.0,Downtown,1986,Excellent
9681000,6000,4,3.0,Suburb,2004,Fair
9310000,6550,4,2.0,Downtown,1994,Fair
9240000,3500,4,2.0,Suburb,1995,Good
9240000,7800,3,2.0,Urban,1993,Fair
9100000,6000,4,1.0,Suburb,1996,Fair
9100000,6600,4,2.0,Downtown,1985,Poor
8960000,8500,3,2.0,Suburb,1990,Good
8890000,4600,3,2.0,Suburb,1998,Good
8855000,6420,3,2.0,Downtown,1983,Fair
8750000,4320,3,1.0,Suburb,1985,Fair
8680000,7155,3,2.0,Suburb,1969,Poor
8645000,8050,3,1.0,Suburb,1962,Excellent
8645000,4560,3,2.0,Suburb,2002,Excellent
8575000,8800,3,2.0,Suburb,1996,Good
8540000,6540,4,2.0,Downtown,1990,Excellent
8463000,6000,3,2.0,Downtown,2001,Fair
8400000,8875,3,1.0,Suburb,1987,Fair
8400000,7950,5,2.0,Suburb,1986,Poor
8400000,5500,4,2.0,Urban,1982,Fair
8400000,7475,3,2.0,Suburb,2003,Poor
8400000,7000,3,1.0,Suburb,1994,Fair
8295000,4880,4,2.0,Downtown,1968,Good
8190000,5960,3,3.0,Suburb,1987,Poor
8120000,6840,5,1.0,Suburb,2000,Excellent
8080940,7000,3,2.0,Suburb,1987,Good
8043000,7482,3,2.0,Urban,2009,Good
7980000,9000,4,2.0,Suburb,2018,Good
7962500,6000,3,1.0,Suburb,1996,Poor
7910000,6000,4,2.0,Suburb,2010,Fair
7875000,6550,3,1.0,Urban,1971,Excellent
7840000,6360,3,2.0,Urban,2015,Good
7700000,6480,3,2.0,Suburb,2013,Poor
7700000,6000,4,2.0,Suburb,1999,Fair
7560000,6000,4,2.0,Suburb,1987,Good
7560000,6000,3,2.0,Suburb,2013,Fair
7525000,6000,3,2.0,Suburb,2002,Good
7490000,6600,3,1.0,Downtown,2020,Good
7455000,4300,3,2.0,Suburb,1992,Poor
7420000,7440,3,2.0,Urban,1986,Fair
7420000,7440,3,2.0,Downtown,2015,Poor
7420000,6325,3,1.0,Suburb,1992,Poor
7350000,6000,4,2.0,Suburb,1999,Good
7350000,5150,3,2.0,Suburb,2003,Fair
7350000,6000,3,2.0,Suburb,1984,Fair
7350000,6000,3,1.0,Suburb,1966,Poor
7343000,11440,4,1.0,Urban,1986,Fair
7245000,9000,4,2.0,Urban,1991,Good
7210000,7680,4,2.0,Suburb,2014,Fair
7210000,6000,3,2.0,Suburb,2012,Good
7140000,6000,3,2.0,Suburb,2001,Fair
7070000,8880,2,1.0,Suburb,1984,Fair
7070000,6240,4,2.0,Suburb,1979,Good
7035000,6360,4,2.0,Urban,2013,Good
7000000,11175,3,1.0,Urban,1971,Excellent
6930000,8880,3,2.0,Suburb,1978,Excellent
6930000,13200,2,1.0,Suburb,1991,Excellent
6895000,7700,3,2.0,Suburb,1969,Poor
6860000,6000,3,1.0,Suburb,1958,Good
6790000,12090,4,2.0,Urban,1983,Good
6790000,4000,3,2.0,Urban,1996,Fair
6755000,6000,4,2.0,Suburb,1992,Poor
6720000,5020,3,1.0,Urban,2003,Poor
6685000,6600,2,2.0,Urban,1990,Good
6650000,4040,3,1.0,Suburb,1992,Excellent
6650000,4260,4,2.0,Suburb,1984,Fair
6650000,6420,3,2.0,Downtown,1988,Good
6650000,6500,3,2.0,Downtown,1984,Good
6650000,5700,3,1.0,Urban,1977,Excellent
6650000,6000,3,2.0,Suburb,2001,Good
6629000,6000,3,1.0,Urban,2002,Fair
6615000,4000,3,2.0,Suburb,1982,Fair
6615000,10500,3,2.0,Urban,1961,Excellent
6580000,6000,3,2.0,Suburb,2018,Fair
6510000,3760,3,1.0,Suburb,1990,Fair
6510000,8250,3,2.0,Suburb,2003,Good
6510000,6670,3,1.0,Downtown,1978,Poor
6475000,3960,3,1.0,Suburb,1967,Fair
6475000,7410,3,1.0,Urban,1985,Poor
6440000,8580,5,3.0,Suburb,1998,Good
6440000,5000,3,1.0,Suburb,1982,Fair
6419000,6750,2,1.0,Downtown,1987,Good
6405000,4800,3,2.0,Suburb,2018,Good
6300000,7200,3,2.0,Suburb,1970,Fair
6300000,6000,4,2.0,Suburb,2020,Fair
6300000,4100,3,2.0,Suburb,1986,Fair
6300000,9000,3,1.0,Downtown,1964,Good
6300000,6400,3,1.0,Downtown,1982,Fair
6293000,6600,3,2.0,Downtown,2000,Poor
6265000,6000,4,1.0,Downtown,1980,Poor
6230000,6600,3,2.0,Urban,1988,Poor
6230000,5500,3,1.0,Urban,1982,Poor
6195000,5500,3,2.0,Suburb,2017,Fair
6195000,6350,3,2.0,Suburb,1975,Good
6195000,5500,3,2.0,Urban,1986,Good
6160000,4500,3,1.0,Suburb,2016,Poor
6160000,5450,4,2.0,Urban,1986,Fair
6125000,6420,3,1.0,Urban,2001,Poor
6107500,3240,4,1.0,Suburb,1993,Fair
6090000,6615,4,2.0,Suburb,1993,Fair
6090000,6600,3,1.0,Downtown,1966,Fair
6090000,8372,3,1.0,Suburb,2006,Poor
6083000,4300,6,2.0,Suburb,1987,Good
6083000,9620,3,1.0,Urban,1973,Good
6020000,6800,2,1.0,Suburb,1975,Good
6020000,8000,3,1.0,Urban,1977,Fair
6020000,6900,3,2.0,Downtown,1956,Poor
5950000,3700,4,1.0,Suburb,1970,Good
5950000,6420,3,1.0,Urban,1964,Excellent
5950000,7020,3,1.0,Downtown,1959,Fair
5950000,6540,3,1.0,Urban,1972,Good
5950000,7231,3,1.0,Downtown,1991,Fair
5950000,6254,4,2.0,Urban,1981,Fair
5950000,7320,4,2.0,Suburb,1983,Good
5950000,6525,3,2.0,Suburb,2019,Good
5943000,15600,3,1.0,Suburb,1977,Fair
5880000,7160,3,1.0,Urban,1958,Poor
5880000,6500,3,2.0,Suburb,2005,Poor
5873000,5500,3,1.0,Suburb,1997,Good
5873000,11460,3,1.0,Downtown,2000,Fair
5866000,4800,3,1.0,Suburb,1977,Poor
5810000,5828,4,1.0,Suburb,2007,Fair
5810000,5200,3,1.0,Suburb,1978,Fair
5810000,4800,3,1.0,Suburb,1997,Poor
5803000,7000,3,1.0,Downtown,1986,Fair
5775000,6000,3,2.0,Suburb,1997,Poor
5740000,5400,4,2.0,Suburb,1989,Poor
5740000,4640,4,1.0,Suburb,1966,Fair
5740000,5000,3,1.0,Suburb,1988,Fair
5740000,6360,3,1.0,Downtown,1972,Excellent
5740000,5800,3,2.0,Suburb,2023,Poor
5652500,6660,4,2.0,Downtown,1973,Fair
5600000,10500,4,2.0,Suburb,1976,Fair
5600000,4800,5,2.0,Rural,1991,Poor
5600000,4700,4,1.0,Suburb,2004,Excellent
5600000,5000,3,1.0,Suburb,2019,Good
5600000,10500,2,1.0,Suburb,1956,Fair
5600000,5500,3,2.0,Suburb,1974,Fair
5600000,6360,3,1.0,Downtown,2007,Fair
5600000,6600,4,2.0,Downtown,1957,Fair
5600000,5136,3,1.0,Downtown,1999,Poor
5565000,4400,4,1.0,Downtown,1976,Fair
5565000,5400,5,1.0,Urban,2001,Excellent
5530000,3300,3,3.0,Suburb,1976,Fair
5530000,3650,3,2.0,Suburb,1982,Fair
5530000,6100,3,2.0,Urban,1981,Good
5523000,6900,3,1.0,Downtown,1960,Fair
5495000,2817,4,2.0,Rural,1987,Good
5495000,7980,3,1.0,Suburb,1975,Fair
5460000,3150,3,2.0,Suburb,1986,Excellent
5460000,6210,4,1.0,Suburb,2023,Good
5460000,6100,3,1.0,Urban,2001,Fair
5460000,6600,4,2.0,Urban,1981,Fair
5425000,6825,3,1.0,Urban,1971,Fair
5390000,6710,3,2.0,Urban,1981,Good
5383000,6450,3,2.0,Suburb,1987,Poor
5320000,7800,3,1.0,Downtown,1967,Poor
5285000,4600,2,2.0,Suburb,1961,Fair
5250000,4260,4,1.0,Suburb,1978,Excellent
5250000,6540,4,2.0,Rural,1965,Fair
5250000,5500,3,2.0,Suburb,1959,Fair
5250000,10269,3,1.0,Urban,1958,Fair
5250000,8400,3,1.0,Downtown,1995,Poor
5250000,5300,4,2.0,Urban,1983,Poor
5250000,3800,3,1.0,Urban,1992,Poor
5250000,9800,4,2.0,Suburb,1983,Fair
5250000,8520,3,1.0,Suburb,1983,Good
5243000,6050,3,1.0,Urban,1961,Fair
5229000,7085,3,1.0,Downtown,1991,Fair
5215000,3180,3,2.0,Suburb,1985,Fair
5215000,4500,4,2.0,Rural,1992,Fair
5215000,7200,3,1.0,Urban,1971,Good
5145000,3410,3,1.0,Rural,1984,Fair
5145000,7980,3,1.0,Downtown,1982,Fair
5110000,3000,3,2.0,Suburb,1984,Good
5110000,3000,3,1.0,Suburb,1982,Poor
5110000,11410,2,1.0,Urban,1971,Good
5110000,6100,3,1.0,Downtown,1970,Fair
5075000,5720,2,1.0,Urban,1974,Poor
5040000,3540,2,1.0,Rural,1967,Fair
5040000,7600,4,1.0,Suburb,1992,Good
5040000,10700,3,1.0,Suburb,1990,Fair
5040000,6600,3,1.0,Downtown,1979,Good
5033000,4800,2,1.0,Suburb,1969,Fair
5005000,8150,3,2.0,Suburb,1993,Fair
4970000,4410,4,3.0,Suburb,1968,Fair
4970000,7686,3,1.0,Suburb,1968,Fair
4956000,2800,3,2.0,Rural,1969,Fair
4935000,5948,3,1.0,Suburb,1978,Fair
4907000,4200,3,1.0,Suburb,2003,Good
4900000,4520,3,1.0,Suburb,1979,Fair
4900000,4095,3,1.0,Rural,2001,Fair
4900000,4120,2,1.0,Suburb,1974,Fair
4900000,5400,4,1.0,Suburb,1992,Fair
4900000,4770,3,1.0,Suburb,1973,Fair
4900000,6300,3,1.0,Suburb,1965,Fair
4900000,5800,2,1.0,Suburb,1985,Fair
4900000,3000,3,1.0,Suburb,2003,Fair
4900000,2970,3,1.0,Suburb,1985,Fair
4900000,6720,3,1.0,Suburb,1986,Poor
4900000,4646,3,1.0,Suburb,1975,Fair
4900000,12900,3,1.0,Suburb,1983,Good
4893000,3420,4,2.0,Suburb,1996,Fair
4893000,4995,4,2.0,Suburb,1972,Fair
4865000,4350,2,1.0,Suburb,1984,Poor
4830000,4160,3,1.0,Suburb,1985,Poor
4830000,6040,3,1.0,Downtown,1958,Fair
4830000,6862,3,1.0,Urban,1968,Good
4830000,4815,2,1.0,Downtown,1972,Fair
4795000,7000,3,1.0,Suburb,2001,Poor
4795000,8100,4,1.0,Suburb,1990,Fair
4767000,3420,4,2.0,Suburb,1983,Fair
4760000,9166,2,1.0,Suburb,1983,Fair
4760000,6321,3,1.0,Suburb,1973,Excellent
4760000,10240,2,1.0,Urban,1983,Poor
4753000,6440,2,1.0,Suburb,1967,Fair
4690000,5170,3,1.0,Suburb,2017,Fair
4690000,6000,2,1.0,Suburb,1978,Excellent
4690000,3630,3,1.0,Suburb,1986,Fair
4690000,9667,4,2.0,Suburb,1972,Fair
4690000,5400,2,1.0,Urban,1983,Fair
4690000,4320,3,1.0,Urban,1989,Fair
4655000,3745,3,1.0,Suburb,1965,Good
4620000,4160,3,1.0,Suburb,1985,Poor
4620000,3880,3,2.0,Suburb,1984,Fair
4620000,5680,3,1.0,Suburb,1993,Fair
4620000,2870,2,1.0,Urban,1991,Fair
4620000,5010,3,1.0,Suburb,1982,Fair
4613000,4510,4,2.0,Suburb,1977,Fair
4585000,4000,3,1.0,Suburb,1990,Good
4585000,3840,3,1.0,Urban,1970,Fair
4550000,3760,3,1.0,Suburb,1978,Fair
4550000,3640,3,1.0,Suburb,1968,Good
4550000,2550,3,1.0,Suburb,1990,Good
4550000,5320,3,1.0,Urban,1990,Fair
4550000,5360,3,1.0,Urban,1968,Poor
4550000,3520,3,1.0,Urban,1985,Fair
4550000,8400,4,1.0,Suburb,2001,Poor
4543000,4100,2,2.0,Suburb,1986,Fair
4543000,4990,4,2.0,Urban,1966,Good
4515000,3510,3,1.0,Suburb,1982,Fair
4515000,3450,3,1.0,Suburb,1984,Fair
4515000,9860,3,1.0,Suburb,1962,Fair
4515000,3520,2,1.0,Urban,1978,Good
4480000,4510,4,1.0,Suburb,1991,Fair
4480000,5885,2,1.0,Suburb,1960,Poor
4480000,4000,3,1.0,Suburb,1992,Good
4480000,8250,3,1.0,Suburb,1959,Good
4480000,4040,3,1.0,Suburb,1972,Fair
4473000,6360,2,1.0,Suburb,1978,Excellent
4473000,3162,3,1.0,Suburb,1996,Good
4473000,3510,3,1.0,Suburb,1971,Fair
4445000,3750,2,1.0,Suburb,1966,Fair
4410000,3968,3,1.0,Rural,2002,Fair
4410000,4900,2,1.0,Suburb,2004,Fair
4403000,2880,3,1.0,Urban,1988,Fair
4403000,4880,3,1.0,Downtown,1972,Poor
4403000,4920,3,1.0,Suburb,1978,Fair
4382000,4950,4,1.0,Suburb,1989,Fair
4375000,3900,3,1.0,Suburb,1988,Poor
4340000,4500,3,2.0,Suburb,1986,Good
4340000,1905,5,1.0,Rural,1965,Fair
4340000,4075,3,1.0,Suburb,1961,Fair
4340000,3500,4,1.0,Suburb,2003,Good
4340000,6450,4,1.0,Suburb,1981,Fair
4319000,4032,2,1.0,Suburb,1974,Good
4305000,4400,2,1.0,Suburb,1973,Fair
4305000,10360,2,1.0,Downtown,1986,Fair
4277000,3400,3,1.0,Urban,1967,Fair
4270000,6360,2,1.0,Suburb,1958,Good
4270000,6360,2,1.0,Suburb,1976,Poor
4270000,4500,2,1.0,Suburb,1974,Good
4270000,2175,3,1.0,Rural,1991,Poor
4270000,4360,4,1.0,Suburb,1984,Good
4270000,7770,2,1.0,Suburb,1972,Good
4235000,6650,3,1.0,Suburb,2002,Fair
4235000,2787,3,1.0,Urban,1961,Good
4200000,5500,3,1.0,Suburb,1987,Poor
4200000,5040,3,1.0,Suburb,1986,Poor
4200000,5850,2,1.0,Suburb,1973,Fair
4200000,2610,4,3.0,Rural,1997,Fair
4200000,2953,3,1.0,Suburb,1975,Poor
4200000,2747,4,2.0,Rural,2003,Fair
4200000,4410,2,1.0,Rural,1968,Poor
4200000,4000,4,2.0,Rural,1986,Fair
4200000,2325,3,1.0,Rural,1985,Fair
4200000,4600,3,2.0,Suburb,1998,Fair
4200000,3640,3,2.0,Suburb,1982,Poor
4200000,5800,3,1.0,Suburb,1966,Fair
4200000,7000,3,1.0,Suburb,1955,Good
4200000,4079,3,1.0,Suburb,1989,Fair
4200000,3520,3,1.0,Urban,1998,Fair
4200000,2145,3,1.0,Urban,1975,Poor
4200000,4500,3,1.0,Suburb,1990,Good
4193000,8250,3,1.0,Suburb,1976,Fair
4193000,3450,3,1.0,Suburb,1970,Fair
4165000,4840,3,1.0,Suburb,1977,Fair
4165000,4080,3,1.0,Suburb,1987,Fair
4165000,4046,3,1.0,Suburb,1977,Fair
4130000,4632,4,1.0,Suburb,1969,Fair
4130000,5985,3,1.0,Suburb,1981,Fair
4123000,6060,2,1.0,Suburb,1981,Fair
4098500,3600,3,1.0,Urban,1959,Excellent
4095000,3680,3,2.0,Suburb,1976,Fair
4095000,4040,2,1.0,Suburb,1974,Fair
4095000,5600,2,1.0,Suburb,1981,Fair
4060000,5900,4,2.0,Rural,1994,Poor
4060000,4992,3,2.0,Suburb,1994,Poor
4060000,4340,3,1.0,Suburb,1992,Fair
4060000,3000,4,1.0,Suburb,2005,Fair
4060000,4320,3,1.0,Urban,1977,Good
4025000,3630,3,2.0,Suburb,1969,Fair
4025000,3460,3,2.0,Suburb,1979,Excellent
4025000,5400,3,1.0,Suburb,1991,Fair
4007500,4500,3,1.0,Rural,2004,Fair
4007500,3460,4,1.0,Suburb,1974,Fair
3990000,4100,4,1.0,Rural,1964,Poor
3990000,6480,3,1.0,Rural,1966,Fair
3990000,4500,3,2.0,Rural,1970,Fair
3990000,3960,3,1.0,Suburb,1987,Good
3990000,4050,2,1.0,Urban,1986,Poor
3920000,7260,3,2.0,Suburb,1969,Good
3920000,5500,4,1.0,Suburb,1977,Fair
3920000,3000,3,1.0,Suburb,1998,Fair
3920000,3290,2,1.0,Suburb,1973,Good
3920000,3816,2,1.0,Suburb,1987,Excellent
3920000,8080,3,1.0,Suburb,1993,Fair
3920000,2145,4,2.0,Urban,1967,Poor
3885000,3780,2,1.0,Suburb,1973,Fair
3885000,3180,4,2.0,Suburb,2003,Good
3850000,5300,5,2.0,Suburb,1990,Fair
3850000,3180,2,2.0,Suburb,1966,Fair
3850000,7152,3,1.0,Suburb,1989,Good
3850000,4080,2,1.0,Suburb,1975,Fair
3850000,3850,2,1.0,Suburb,1991,Fair
3850000,2015,3,1.0,Downtown,1975,Fair
3850000,2176,2,1.0,Urban,2004,Fair
3836000,3350,3,1.0,Suburb,2002,Poor
3815000,3150,2,2.0,Rural,1962,Fair
3780000,4820,3,1.0,Suburb,1971,Fair
3780000,3420,2,1.0,Suburb,1986,Fair
3780000,3600,2,1.0,Suburb,1956,Fair
3780000,5830,2,1.0,Suburb,1966,Poor
3780000,2856,3,1.0,Downtown,1992,Good
3780000,8400,2,1.0,Suburb,1993,Good
3773000,8250,3,1.0,Suburb,1994,Good
3773000,2520,5,2.0,Rural,1961,Excellent
3773000,6930,4,1.0,Rural,2000,Good
3745000,3480,2,1.0,Urban,1958,Fair
3710000,3600,3,1.0,Suburb,1984,Poor
3710000,4040,2,1.0,Suburb,1988,Fair
3710000,6020,3,1.0,Suburb,1990,Fair
3710000,4050,2,1.0,Suburb,1963,Good
3710000,3584,2,1.0,Suburb,1990,Fair
3703000,3120,3,1.0,Rural,1969,Fair
3703000,5450,2,1.0,Suburb,1975,Good
3675000,3630,2,1.0,Suburb,1973,Good
3675000,3630,2,1.0,Suburb,1967,Poor
3675000,5640,2,1.0,Rural,1955,Fair
3675000,3600,2,1.0,Suburb,1985,Good
3640000,4280,2,1.0,Suburb,1968,Fair
3640000,3570,3,1.0,Suburb,1991,Fair
3640000,3180,3,1.0,Rural,1981,Fair
3640000,3000,2,1.0,Suburb,1979,Good
3640000,3520,2,2.0,Suburb,1990,Fair
3640000,5960,3,1.0,Suburb,1968,Poor
3640000,4130,3,2.0,Suburb,1994,Fair
3640000,2850,3,2.0,Mountain,1994,Poor
3640000,2275,3,1.0,Downtown,1990,Fair
3633000,3520,3,1.0,Urban,1965,Poor
3605000,4500,2,1.0,Suburb,1955,Fair
3605000,4000,2,1.0,Downtown,1992,Fair
3570000,3150,3,1.0,Suburb,2002,Good
3570000,4500,4,2.0,Suburb,1974,Good
3570000,4500,2,1.0,Rural,1956,Good
3570000,3640,2,1.0,Suburb,1959,Poor
3535000,3850,3,1.0,Suburb,1957,Poor
3500000,4240,3,1.0,Suburb,1998,Fair
3500000,3650,3,1.0,Suburb,2000,Poor
3500000,4600,4,1.0,Suburb,1971,Fair
3500000,2135,3,2.0,Rural,1994,Poor
3500000,3036,3,1.0,Suburb,1972,Fair
3500000,3990,3,1.0,Suburb,1979,Fair
3500000,7424,3,1.0,Rural,1978,Poor
3500000,3480,3,1.0,Rural,1983,Poor
3500000,3600,6,1.0,Suburb,1999,Poor
3500000,3640,2,1.0,Suburb,1956,Fair
3500000,5900,2,1.0,Suburb,1962,Good
3500000,3120,3,1.0,Suburb,1976,Poor
3500000,7350,2,1.0,Suburb,1967,Fair
3500000,3512,2,1.0,Urban,1994,Poor
3500000,9500,3,1.0,Urban,1996,Poor
3500000,5880,2,1.0,Suburb,1967,Poor
3500000,12944,3,1.0,Suburb,1993,Poor
3493000,4900,3,1.0,Rural,1984,Poor
3465000,3060,3,1.0,Suburb,1975,Poor
3465000,5320,2,1.0,Downtown,1972,Poor
3465000,2145,3,1.0,Urban,1980,Good
3430000,4000,2,1.0,Suburb,1992,Poor
3430000,3185,2,1.0,Suburb,1955,Poor
3430000,3850,3,1.0,Suburb,1961,Poor
3430000,2145,3,1.0,Downtown,1984,Good
3430000,2610,3,1.0,Urban,1976,Poor
3430000,1950,3,2.0,Downtown,1970,Poor
3423000,4040,2,1.0,Suburb,1955,Poor
3395000,4785,3,1.0,Suburb,1992,Excellent
3395000,3450,3,1.0,Suburb,1993,Poor
3395000,3640,2,1.0,Suburb,1959,Good
3360000,3500,4,1.0,Suburb,1976,Poor
3360000,4960,4,1.0,Rural,1995,Fair
3360000,4120,2,1.0,Suburb,2002,Poor
3360000,4750,2,1.0,Suburb,1982,Poor
3360000,3720,2,1.0,Rural,1985,Poor
3360000,3750,3,1.0,Suburb,1978,Poor
3360000,3100,3,1.0,Rural,1981,Fair
3360000,3185,2,1.0,Suburb,1962,Good
3353000,2700,3,1.0,Rural,1989,Good
3332000,2145,3,1.0,Downtown,1997,Good
3325000,4040,2,1.0,Suburb,1956,Poor
3325000,4775,4,1.0,Suburb,1993,Poor
3290000,2500,2,1.0,Rural,1958,Poor
3290000,3180,4,1.0,Suburb,1994,Poor
3290000,6060,3,1.0,Suburb,1988,Good
3290000,3480,4,1.0,Rural,1970,Fair
3290000,3792,4,1.0,Suburb,1982,Fair
3290000,4040,2,1.0,Suburb,1959,Poor
3290000,2145,3,1.0,Urban,1987,Good
3290000,5880,3,1.0,Suburb,1992,Poor
3255000,4500,2,1.0,Rural,1958,Fair
3255000,3930,2,1.0,Rural,1970,Poor
3234000,3640,4,1.0,Suburb,2003,Poor
3220000,4370,3,1.0,Suburb,1977,Poor
3220000,2684,2,1.0,Suburb,1960,Poor
3220000,4320,3,1.0,Rural,1974,Poor
3220000,3120,3,1.0,Rural,1985,Good
3150000,3450,1,1.0,Suburb,1981,Good
3150000,3986,2,2.0,Rural,1967,Poor
3150000,3500,2,1.0,Rural,1993,Fair
3150000,4095,2,1.0,Suburb,1975,Fair
3150000,1650,3,1.0,Rural,1976,Poor
3150000,3450,3,1.0,Suburb,2003,Fair
3150000,6750,2,1.0,Suburb,1991,Fair
3150000,9000,3,1.0,Suburb,1984,Fair
3150000,3069,2,1.0,Suburb,1955,Poor
3143000,4500,3,1.0,Suburb,1988,Poor
3129000,5495,3,1.0,Suburb,1977,Poor
3118850,2398,3,1.0,Urban,1960,Fair
3115000,3000,3,1.0,Rural,1980,Poor
3115000,3850,3,1.0,Suburb,1998,Poor
3115000,3500,2,1.0,Suburb,1959,Poor
3087000,8100,2,1.0,Suburb,1983,Poor
3080000,4960,2,1.0,Suburb,1960,Poor
3080000,2160,3,1.0,Rural,1994,Fair
3080000,3090,2,1.0,Suburb,1971,Poor
3080000,4500,2,1.0,Suburb,1965,Fair
3045000,3800,2,1.0,Suburb,1993,Poor
3010000,3090,3,1.0,Rural,1971,Fair
3010000,3240,3,1.0,Suburb,1988,Fair
3010000,2835,2,1.0,Suburb,1962,Fair
3010000,4600,2,1.0,Suburb,1992,Good
3010000,5076,3,1.0,Rural,1984,Poor
3010000,3750,3,1.0,Suburb,1997,Poor
3010000,3630,4,1.0,Suburb,1982,Fair
3003000,8050,2,1.0,Suburb,1973,Poor
2975000,4352,4,1.0,Rural,1990,Poor
2961000,3000,2,1.0,Suburb,1996,Fair
2940000,5850,3,1.0,Suburb,1998,Poor
2940000,4960,2,1.0,Suburb,1955,Poor
2940000,3600,3,1.0,Rural,1991,Poor
2940000,3660,4,1.0,Rural,1969,Poor
2940000,3480,3,1.0,Rural,1976,Fair
2940000,2700,2,1.0,Rural,1988,Good
2940000,3150,3,1.0,Rural,1975,Poor
2940000,6615,3,1.0,Suburb,1996,Fair
2870000,3040,2,1.0,Rural,1973,Poor
2870000,3630,2,1.0,Suburb,1964,Poor
